config,n_free,N,num_points,L,run,seed,train_data_seed,test_data_seed,test_rel_error,test_abs_error,test_loss,train_loss,epochs_run,stopping_reason,train_time
mu,1,16,100,2,0,100,200,300,0.0019285160452127456,0.0032771795690059663,1.855300401803106e-05,1.8524049664847553e-05,2000,max_epochs,2.6255559409910347
mu,1,16,100,2,1,101,201,301,0.0019818832874298094,0.003370979905128479,1.987277646549046e-05,1.3808944459015038e-05,2000,max_epochs,2.633948912989581
mu,1,16,100,2,2,102,202,302,0.0018666665256023406,0.003169977903366089,1.7909158719703556e-05,1.0313027814845555e-05,2000,max_epochs,2.6283493300143164
mu,1,16,100,2,3,103,203,303,0.0018891080021858216,0.0031829235553741454,1.8547447165474296e-05,1.6572901586187072e-05,2000,max_epochs,2.625407437008107
mu,1,16,100,2,4,104,204,304,0.0018862208127975464,0.0031738133132457732,1.8167576286941765e-05,1.3208769814809784e-05,2000,max_epochs,2.6263668600004166
mu,1,16,100,2,5,105,205,305,0.0020456040054559707,0.0033271039128303526,2.0135410828515887e-05,1.438605431758333e-05,2000,max_epochs,2.632385320001049
mu,1,16,100,2,6,106,206,306,0.0018342295438051224,0.0031491238474845888,1.661967858672142e-05,1.70635903486982e-05,2000,max_epochs,2.6636679350049235
mu,1,16,100,3,0,100,200,300,0.0019261511564254762,0.003278584808111191,1.8430272350087762e-05,1.7841446606325917e-05,2000,max_epochs,2.6713925060175825
mu,1,16,100,3,1,101,201,301,0.0019912119507789613,0.003425562798976898,1.9688881235197185e-05,1.3985663827043027e-05,2000,max_epochs,2.5893695460108574
mu,1,16,100,3,2,102,202,302,0.0018805727511644363,0.003191513568162918,1.8168485956266522e-05,1.0077906154037919e-05,2000,max_epochs,2.5694500409881584
mu,1,16,100,3,3,103,203,303,0.0018108766674995423,0.0030866432785987856,1.715215970762074e-05,1.516057182016084e-05,2000,max_epochs,2.5729915289848577
mu,1,16,100,3,4,104,204,304,0.001917960152029991,0.0032378947138786314,1.9197832327336074e-05,1.3067990039417055e-05,2000,max_epochs,2.571150674019009
mu,1,16,100,3,5,105,205,305,0.044586438179016114,0.08889326095581054,0.008425990104675292,0.0049985176883637905,2000,max_epochs,2.5725535259989556
mu,1,16,100,3,6,106,206,306,0.0019329786151647567,0.003287204802036285,1.859924860764295e-05,1.6886195226106793e-05,2000,max_epochs,2.6552200079895556
mu,1,16,100,4,0,100,200,300,0.002131091833114624,0.0036918824017047884,2.09475455339998e-05,1.8045897377305664e-05,2000,max_epochs,2.663265241018962
mu,1,16,100,4,1,101,201,301,0.002015788018703461,0.0034269096553325652,2.0628059282898902e-05,1.3868599125999026e-05,2000,max_epochs,2.6600591029855423
mu,1,16,100,4,2,102,202,302,0.001912016823887825,0.0032483905851840972,1.874677394516766e-05,1.0232528438791633e-05,2000,max_epochs,2.6596854960080236
mu,1,16,100,4,3,103,203,303,0.0018998263627290725,0.003212636351585388,1.8653049133718015e-05,1.6498586774105206e-05,2000,max_epochs,2.663805632997537
mu,1,16,100,4,4,104,204,304,0.0019010003358125686,0.003211308032274246,1.8631336279213428e-05,1.3219069842307363e-05,2000,max_epochs,2.6591920309874695
mu,1,16,100,4,5,105,205,305,0.003662271797657013,0.006712868869304657,5.82931786775589e-05,3.4069431421812624e-05,2000,max_epochs,2.663630247989204
mu,1,16,100,4,6,106,206,306,0.0018717425763607025,0.0031805726885795593,1.7343412851914764e-05,1.658783367020078e-05,2000,max_epochs,2.667546312994091
mu,1,16,100,8,0,100,200,300,0.0019474094212055205,0.003316046357154846,1.8834805116057397e-05,1.9466680896584876e-05,2000,max_epochs,2.6682971679838374
mu,1,16,100,8,1,101,201,301,0.0019414742887020112,0.003354716211557388,1.8919175490736963e-05,1.3928204680269118e-05,2000,max_epochs,2.6355687559989747
mu,1,16,100,8,2,102,202,302,0.0019035267382860185,0.0032161613404750825,1.8613338936120272e-05,9.738068001752254e-06,2000,max_epochs,2.6275195560010616
