skew_weight,d,N,L,run,test_rel_error,test_abs_error,train_loss,epochs_run,stopping_reason
0.04,3,128,3,0,0.009195716063181559,0.015650871594746908,0.00017787651414982974,15000,max_epochs
0.04,3,128,3,1,0.00876461386680603,0.01561049485206604,0.00019201199046801776,15000,max_epochs
0.04,3,128,3,2,0.009287363648414612,0.01552716604868571,0.00040816737501882017,15000,max_epochs
0.04,3,128,4,0,0.0060697052081425985,0.011011757453282674,0.0001243718194309622,15000,max_epochs
0.04,3,128,4,1,0.005430266559123993,0.009586705684661865,9.661585657158867e-05,15000,max_epochs
0.04,3,128,4,2,0.007135611335436503,0.012365427811940511,0.0002275361710926518,15000,max_epochs
0.04,3,128,8,0,0.004357011715571086,0.007313310941060384,3.316650533815846e-05,15000,max_epochs
0.04,3,128,8,1,0.008508129676183064,0.015858399232228596,0.0002672585351392627,15000,max_epochs
0.04,3,128,8,2,0.005643406271934509,0.010491709470748902,4.826707547181286e-05,15000,max_epochs
0.04,3,256,1,0,0.013668604532877604,0.024688048044840493,0.0008655568584799766,15000,max_epochs
0.04,3,256,1,1,0.014430746793746948,0.026182366053263347,0.0010004387833178043,15000,max_epochs
0.04,3,256,1,2,0.013945351441701254,0.024734419822692873,0.0007878776509314775,15000,max_epochs
0.04,3,256,2,0,0.01051666537920634,0.01918597682317098,0.0004989494262263179,15000,max_epochs
0.04,3,256,2,1,0.012266826550165812,0.02215096696217855,0.0006375551237724721,15000,max_epochs
0.04,3,256,2,2,0.010077393134435017,0.017817658106486004,0.00045778570999391375,15000,max_epochs
0.04,3,256,3,0,0.00828118360042572,0.014358830769856772,0.00021196893218439073,15000,max_epochs
0.04,3,256,3,1,0.007810046235720317,0.014936895211537678,0.00017832267167977987,15000,max_epochs
0.04,3,256,3,2,0.008950894157091776,0.015398560365041097,0.000306881409836933,15000,max_epochs
0.04,3,256,4,0,0.00595475838581721,0.010973245938618977,0.0001266524095553905,15000,max_epochs
0.04,3,256,4,1,0.004240019142627716,0.007305460015932719,3.645571364904754e-05,15000,max_epochs
0.04,3,256,4,2,0.0060667428175608315,0.01070361872514089,0.00013399948761798442,15000,max_epochs
0.04,3,256,8,0,0.006453161756197611,0.012224386771519978,6.751392805017531e-05,15000,max_epochs
0.04,3,256,8,1,0.0037814417084058127,0.006383395711580912,2.1094744835863822e-05,15000,max_epochs
0.04,3,256,8,2,0.006178072214126587,0.010614286224047344,0.00010444591956911609,15000,max_epochs
0.04,3,1024,1,0,0.01329183316230774,0.0243007869720459,0.0008452002136036754,15000,max_epochs
0.04,3,1024,1,1,0.01384894307454427,0.025411720275878905,0.0009371676985174417,15000,max_epochs
0.04,3,1024,1,2,0.013673565546671549,0.024391782760620116,0.0009050386287271976,15000,max_epochs
0.04,3,1024,2,0,0.009933728655179342,0.018108680725097658,0.0005589008633978665,15000,max_epochs
0.04,3,1024,2,1,0.011695470492045085,0.022266239802042644,0.0005764216873794794,15000,max_epochs
0.04,3,1024,2,2,0.009930983225504557,0.017700879096984864,0.0005028999766800553,15000,max_epochs
0.04,3,1024,3,0,0.005863515337308248,0.010722819089889526,0.00013191348034888507,15000,max_epochs
0.04,3,1024,3,1,0.0057307950258255,0.010181059718132018,0.00017612910410389303,15000,max_epochs
0.04,3,1024,3,2,0.0059152348836263025,0.010702693780263265,0.00011920870223548263,15000,max_epochs
0.04,3,1024,4,0,0.0043604789574941,0.007933840711911519,0.0001305619176127948,15000,max_epochs
0.04,3,1024,4,1,0.005386490046977997,0.009835521697998046,8.119960999465547e-05,15000,max_epochs
0.04,3,1024,4,2,0.0036998185912768045,0.006400388916333517,3.794535115594044e-05,15000,max_epochs
0.04,3,1024,8,0,0.0032958463231722514,0.005850135405858358,3.376301781099755e-05,15000,max_epochs
0.04,3,1024,8,1,0.004611907323201497,0.00889691678682963,5.312000997946598e-05,15000,max_epochs
0.04,3,1024,8,2,0.003506774922211965,0.006569940328598023,1.905511156655848e-05,15000,max_epochs
